trend_name	streaks	first_trended
In-N-Out	1	2020-07-03
Birkin	1	2020-07-03
Galleria	1	2020-07-03
Alan Dershowitz	1	2020-07-03
#msleg	1	2020-06-27
#EurovisionAgain	1	2020-06-27
#UFCVegas4	1	2020-06-27
Lampard	1	2020-06-25
#FridayThoughts	1	2020-06-26
#NepotismBarbie	1	2020-06-26
Johnny Depp	1	2020-06-26
Get CupcakKe	1	2020-06-26
Dick Cheney	1	2020-06-26
#HappyBirthdayBTS	1	2020-06-12
#CardiBIsOverParty	1	2020-06-25
#MarchMarch	1	2020-06-25
Barkley	1	2020-06-25
NOOSE	1	2020-06-25
#worldsgonemad	1	2020-06-12
PAST LIFE AT MIDNIGHT	1	2020-06-25
B Simone	1	2020-06-26
"""Dixie"""	1	2020-06-25
Chuck E. Cheese	1	2020-06-25
Sammy Hagar	1	2020-06-25
#DCStatehood	1	2020-06-25
Song of the South	1	2020-06-25
The Chicks	1	2020-06-25
#GrantFire	1	2020-06-12
#wetporter	1	2020-06-12
#CDL2020	1	2020-06-12
#ACA5	1	2020-06-24
#CopsOutCPS	1	2020-06-24
Gia Gunn	1	2020-06-26
Andrew Toles	1	2020-06-26
#AdviceFromBatman	1	2020-06-27
North Hollywood	1	2020-06-27
#SaturdayThoughts	1	2020-06-27
#june27th	1	2020-06-27
#Batfleck	1	2020-06-27
Golfing	1	2020-06-27
Mike Joy	1	2020-06-27
Ribery	1	2020-06-27
sunwoo	1	2020-06-27
Scherzer	1	2020-06-27
Ru Bando	1	2020-06-27
Garrett Morgan	1	2020-06-12
Under Armour	1	2020-06-27
Norwich	1	2020-06-27
Goff	1	2020-06-26
Bebe	1	2020-06-27
Eli Whitney	1	2020-06-12
#MajorTitle	1	2020-06-26
#CoronaVirusTaskForce	1	2020-06-26
#freedoc	1	2020-06-26
#loveislove	1	2020-06-26
#MyTeenageDreamWas	1	2020-06-26
#MoreLiesMoreDie	1	2020-06-26
American Airlines	1	2020-06-26
Rich Paul	1	2020-06-26
#twentyonepilots	1	2020-06-12
#SLCvSD	1	2020-07-11
